,state,gdp_growth
1,California,1.0
2,Texas,5.6
3,New York,5.0
4,Florida,6.9
5,Illinois,5.0
6,Pennsylvania,4.4
7,Ohio,4.3
8,Georgia,5.8
9,New Jersey,4.9
10,North Carolina,6.7
11,Washington,6.7
12,Massachusetts,6.4
13,Virginia,4.0
14,Michigan,6.2
15,Colorado,5.8
16,Tennessee,8.6
17,Maryland,3.2
18,Arizona,5.3
19,Indiana,6.9
20,Minnesota,5.7
21,Wisconsin,3.8
22,Missouri,4.6
23,Connecticut,4.2
24,Oregon,5.4
25,South Carolina,5.9
26,Louisiana,2.4
27,Alabama,4.1
28,Kentucky,4.7
29,Utah,6.7
30,Oklahoma,2.2
31,Iowa,6.4
32,Nevada,7.1
33,Kansas,3.8
34,Arkansas,5.0
35,Nebraska,5.3
36,District of Columbia,2.8
37,Mississippi,4.4
38,New Mexico,2.5
39,Idaho,5.8
40,New Hampshire,8.5
41,Hawaii,4.6
42,West Virginia,4.0
43,Delaware,3.7
44,Maine,5.2
45,North Dakota,2.1
46,Rhode Island,5.5
47,South Dakota,4.9
48,Montana,6.7
49,Alaska,0.3
50,Wyoming,1.1
51,Vermont,3.5
